ID,ESTACION,TEMPERATURA,PRECIPITACION,VIENTO,BATERIA
001,COTO,31,12,18,82
002,GOLFITO,36,0,25,76
003,GOLFITO,29,55,14,64
004,CORREDORES,38,63,42,18
005,GOLFITO,27,8,9,91
006,COTO,30,5,12,85
007,GOLFITO,32,20,15,70
008,CORREDORES,34,45,30,55
009,COTO,26,2,8,95
010,GOLFITO,33,18,20,60
011,CORREDORES,29,60,25,40
012,COTO,28,10,10,88
013,GOLFITO,31,25,17,72
014,CORREDORES,35,50,35,30
015,COTO,27,3,7,90
016,GOLFITO,30,15,12,65
017,CORREDORES,33,40,28,50
018,COTO,29,7,9,80
026,COTO,25,4,6,3
027,GOLFITO,32,30,22,68
028,CORREDORES,31,35,20,45
029,COTO,26,1,5,92
030,GOLFITO,34,22,18,58
